title,date,location,price,image_url
DreamFlow // Lemezbemutat Koncert// Kolozsvr,"mar?i, 18 martie 2025, 19:00","Flying Circus, Cluj-Napoca",25 lei,https://livetickets-cdn.azureedge.net/itemimages/dreamflow-lemezbemutato-koncert-kolozsv/Background_MEDIUM.jpg?974c48b8-72ca-4f05-82bc-c17b0896a731
Samurai - MANUSCRIS,"miercuri, 19 martie 2025, 18:00","Gradina Alhambra, Bucure?ti",30 lei,https://livetickets-cdn.azureedge.net/itemimages/samurai-manuscris/Background_MEDIUM.jpg?3e4731fa-4183-43a3-8769-a218b8529775
Concert Zdob ?i Zdub n Ora?ul cu Chef de Via?a,"miercuri, 19 martie 2025, 20:30","Beraria H, Bucure?ti",49.9 - 149.9 lei,https://livetickets-cdn.azureedge.net/itemimages/concert-zdob-zdub-bucuresti-bh-2025/Background_MEDIUM.jpg?629b58c2-b9c9-4943-a39c-6e7265c33f58
Stand Up Drama,"joi, 20 martie 2025, 19:00","?oseaua Mihai Bravu 223, Bucure?ti",50 lei,https://livetickets-cdn.azureedge.net/itemimages/stand-up-drama/Background_MEDIUM.jpg?36bdd803-eba0-4089-8d2b-cffa40928506
Concert Wanted,"joi, 20 martie 2025, 19:00","Acaju Cafe, Ia?i",44 lei,https://livetickets-cdn.azureedge.net/itemimages/concert-wanted/Background_MEDIUM.jpg?b572278b-efd7-43e2-9143-28cb6220d1fc
"Bonel - ,,Primul Meu Concert"" + Lansare ,,MIXED FEELINGS""","joi, 20 martie 2025, 20:00","Nook Club, Bucure?ti",30 - 50 lei,https://livetickets-cdn.azureedge.net/itemimages/bonel-primul-meu-concert-lansare-mixed-feelings/Background_MEDIUM.jpg?37064466-0eee-4a06-b066-efcc38288c38
Hai sa facem sex - 20 martie,"joi, 20 martie 2025, 20:00","Strada Logofatul Tautu 68A, Bucure?ti",72 lei,https://livetickets-cdn.azureedge.net/itemimages/hai-sa-facem-sex/Background_MEDIUM.jpg?9bec1284-71b6-43ed-bc4c-4df7d55897c6
CARAMELO | baila reggaeton,"joi, 20 martie 2025, 20:00","Interbelic, Bucure?ti",0 lei,https://livetickets-cdn.azureedge.net/itemimages/caramelo-baila-reggaeton-20/Background_MEDIUM.jpg?c75debf2-aae6-44ec-a974-6bc21dd54134
Concert Lansare - Sico - Story the Club Suceava,"joi, 20 martie 2025, 21:00","Story - The Club, Suceava",30 lei,https://livetickets-cdn.azureedge.net/itemimages/concert-lansare-sico-story-the-club-suceava/Background_MEDIUM.jpg?c8752217-7505-43f1-912d-f1d8fbddf032
"WHITE PARTY ? Sesiunea de noapte @ Altfel, Timisoara","joi, 20 martie 2025, 22:00","#altfel Timisoara, Timi?oara",20 - 120 lei,https://livetickets-cdn.azureedge.net/itemimages/white-party-sesiunea-de-noapte-altfel-timisoara/Background_MEDIUM.jpg?8bc0c8fb-8983-4f51-86b3-970b25849da8
DISNEY PARTY by UNIFIESTA,"joi, 20 martie 2025, 23:00","Temple Pub & Grill, Bra?ov",20 - 25 lei,https://livetickets-cdn.azureedge.net/itemimages/disney-party-by-unifiesta/Background_MEDIUM.jpg?a1c843a5-4f94-478a-9fb8-bb42e272ab2d
"UNA NOCHE Caliente | 20 MAR, FORM Space, Cluj","joi, 20 martie 2025, 23:59","Form Space, Cluj-Napoca",30 - 120 lei,https://livetickets-cdn.azureedge.net/itemimages/una-noche-caliente-20-mar-form-space-cluj/Background_MEDIUM.jpg?0716ecbc-2902-4b6d-b9b8-402565349c0c
??? BALUL BOBOCILOR UMFT 2025 ???,"vineri, 21 martie 2025, 17:00","FUNDATIA JUDETEANA PENTRU TINERET TIMIS, Timi?oara",25 - 40 lei,https://livetickets-cdn.azureedge.net/itemimages/balul-bobocilor-umft-2025/Background_MEDIUM.jpg?fee1a19b-0117-45fa-b610-00540c03271b
3 sud est at Fabrica de Bere,"vineri, 21 martie 2025, 18:40","Fabrica de Bere, Cluj-Napoca",119 - 129 lei,https://livetickets-cdn.azureedge.net/itemimages/3-sud-est-at-fabrica-de-bere/Background_MEDIUM.jpg?f42ae10a-49c2-46fb-8f7e-1394136dd8d1
GBE25,"vineri, 21 martie 2025, 19:00","Ambasador Oradea, Oradea",60 - 130 lei,https://livetickets-cdn.azureedge.net/itemimages/gbe25/Background_MEDIUM.jpg?502aef22-fa73-439d-a197-95ce832614a5
108 Antique Singing Bowls - A Sound Experience,"vineri, 21 martie 2025, 19:00","Franciscan Church of St. Mary of the Snows in Cluj-Napoca, Cluj-Napoca",60 lei,https://livetickets-cdn.azureedge.net/itemimages/108-antique-singing-bowls-a-sound-experience/Background_MEDIUM.jpg?06d76954-2f1f-46bd-86cd-5f161680a9b9
CARTIERUL ?UCAR | Primul bal al vechii lumi,"vineri, 21 martie 2025, 19:00","Linea | Closer To The Moon, Bucure?ti",49 - 99 lei,https://livetickets-cdn.azureedge.net/itemimages/cartierul-sucar-primul-bal-al-vechii-lumi/Background_MEDIUM.jpg?35ed3e70-34b5-4d62-b8f2-12beada5f639
Vin ?i pictez,"vineri, 21 martie 2025, 19:00","La Maison des Artistes, Bucure?ti",150 lei,https://livetickets-cdn.azureedge.net/itemimages/vin-si-pictez-28/Background_MEDIUM.jpg?7f3087ca-363b-41e8-9a49-66840750a256
SINTEZE - Romanescu / Iordache / Scurtu - 21.03.25,"vineri, 21 martie 2025, 19:30","?oseaua Mihai Bravu 223, Bucure?ti",30 lei,https://livetickets-cdn.azureedge.net/itemimages/sinteze-romanescu-iordache-scurtu-210325/Background_MEDIUM.jpg?1df2ea21-1b94-40c2-90c2-38cc44d1fe1c
Madalina Paval Orchestra  | Concert Lansare Album Fuga Iuga |  Guesthouse Bucure?ti 21.03,"vineri, 21 martie 2025, 20:00","Club Guesthouse, Bucure?ti",100 lei,https://livetickets-cdn.azureedge.net/itemimages/madalina-paval-orchestra-concert-lansare-album-fuga-iuga-guesthouse-bucuresti-2103/Background_MEDIUM.jpg?5079952e-8947-4912-994a-2f1c187923bc
Un spectacol dumnezeiesc - 21 martie,"vineri, 21 martie 2025, 20:00","Strada Logofatul Tautu 68A, Bucure?ti",72 lei,https://livetickets-cdn.azureedge.net/itemimages/un-spectacol-dumnezeiesc-21-martie/Background_MEDIUM.jpg?3e8d1946-957c-497d-9e91-9c6ae9dc496c
GALANT - 2 YEARS ANNIVERSARY featuring DANI MOCANU - CHAPTER VII,"vineri, 21 martie 2025, 21:00","Centrul Regional de Excelen?a pentru Industrii Creative, Cluj-Napoca",69.99 - 140 lei,https://livetickets-cdn.azureedge.net/itemimages/galant-2-years-anniversary-chapter-vii/Background_MEDIUM.jpg?9a9e62ca-24bf-4389-8b27-20a437195281
Tomis Junior & Doini?a Fluturu vin la Riviera Park,"vineri, 21 martie 2025, 21:00","Riviera Park, Bucure?ti",30 lei,https://livetickets-cdn.azureedge.net/itemimages/concert-tomis-junior-doinita-fluturu-bucuresti-2025/Background_MEDIUM.jpg?9fafd216-8724-4b55-94d4-aba6b43b6d24
Cluj-Napoca: MANELIADA | Cu capul in nori,"vineri, 21 martie 2025, 22:00","Klausen Burger, Cluj-Napoca",80 - 90 lei,https://livetickets-cdn.azureedge.net/itemimages/cluj-napoca-maneliada-cu-capul-in-nori/Background_MEDIUM.jpg?9fcdfb02-b726-4f1b-ae22-4b3bb4a0a59c
TEKno RENEGATE,"vineri, 21 martie 2025, 22:00","?oseaua Mihai Bravu 223, Bucure?ti",30 lei,https://livetickets-cdn.azureedge.net/itemimages/tekno-renegate/Background_MEDIUM.jpg?c12c975d-2eb5-4208-a100-0e268e206d84
"CAROUSEL PARTY @ Liquid, Sibiu","vineri, 21 martie 2025, 22:00","Liquid The Club, Sibiu",20 - 120 lei,https://livetickets-cdn.azureedge.net/itemimages/carousel-party-liquid-sibiu-6/Background_MEDIUM.jpg?4a929f4b-2768-4b2a-9f4a-8ba563cae160
HIVE presents Aaron Sevilla @ Dacardi Events | 21.03,"vineri, 21 martie 2025, 22:00","Dacardi Events, Oradea",79 - 119 lei,https://livetickets-cdn.azureedge.net/itemimages/hive-presents-aaron-sevilla-dacardi-events-2103/Background_MEDIUM.jpg?7dcad28b-a607-4df3-9a57-0841e46ac5c7
NOA MIDNIGHT w/ MEDUN @Midnights Concept,"vineri, 21 martie 2025, 22:00","Club NOA, Cluj-Napoca",50 - 150 lei,https://livetickets-cdn.azureedge.net/itemimages/medun-x-midnights-noa-club-march-21/Background_MEDIUM.jpg?9602a811-bb94-42b9-b466-c49a19f31305
Havana Party // The Cuban Project // Hush Pitesti,"vineri, 21 martie 2025, 22:00","Club Hush Pitesti, Pite?ti",60 lei,https://livetickets-cdn.azureedge.net/itemimages/havana-party-the-cuban-project-hush-pitesti/Background_MEDIUM.jpg?dd6e1fd2-237a-4892-9779-2999e44b3513
Private Pijama Party,"vineri, 21 martie 2025, 22:00","Club Escape, Gherla",50 lei,https://livetickets-cdn.azureedge.net/itemimages/private-pijama-party/Background_MEDIUM.jpg?98d523cd-9cc6-4c9b-bf9e-95744114b191
Manelomania - Piatra Neam?,"vineri, 21 martie 2025, 22:00","Tequila Bowling Piatra Neamt, Piatra Neam?",30 - 120 lei,https://livetickets-cdn.azureedge.net/itemimages/manelomania-piatra-neamt-5/Background_MEDIUM.jpg?f9d5ed93-f491-445b-b500-6a3844eeefb5
La Magia de Mike ?? | El Cartel ?? | Magic Mike Show + Reggaeton ??,"vineri, 21 martie 2025, 22:00","OXYA Club, Bucure?ti",60 - 210 lei,https://livetickets-cdn.azureedge.net/itemimages/la-magia-de-mike-el-cartel-magic-mike-show-reggaeton/Background_MEDIUM.jpg?0e77dc41-f2a0-479a-990f-014d075e1757
Oldies meet Karneval,"vineri, 21 martie 2025, 22:00","MATTER, Cluj-Napoca",25 lei,https://livetickets-cdn.azureedge.net/itemimages/oldies-meet-karneval/Background_MEDIUM.jpg?5260a848-70f1-4444-8343-e21f883d7fe5
"OPUS w/Caliman, Jnt, Omen","vineri, 21 martie 2025, 22:00","Opus Club, Trgu Mure?",15 lei,https://livetickets-cdn.azureedge.net/itemimages/opus-wcaliman-jnt-omen/Background_MEDIUM.jpg?31d34895-1e83-4ae2-8c01-04c3a68cb6e0
"Chris Stussy, Sepp b2b Nu Zau, Chapter 47 | NOOK","vineri, 21 martie 2025, 23:00","Nook Club, Bucure?ti",50 - 150 lei,https://livetickets-cdn.azureedge.net/itemimages/chris-stussy-sepp-b2b-nu-zau-chapter-47-nook/Background_MEDIUM.jpg?9ff86e62-8377-4424-8e20-75b54a65148d
ALEX BOTEA @ LIVE @ DIVINO,"vineri, 21 martie 2025, 23:00","Divino Lounge&Bar, Gala?i",90 - 100 lei,https://livetickets-cdn.azureedge.net/itemimages/alex-botea-live-divino/Background_MEDIUM.jpg?a39db65f-43b0-40c4-9538-40a5850d654a
Primavara Manelelor-Ia?i,"vineri, 21 martie 2025, 23:00","Skin Music Lounge, Ia?i",70 - 90 lei,https://livetickets-cdn.azureedge.net/itemimages/primavara-manelelor-iasi/Background_MEDIUM.jpg?57bd50dd-8967-4000-a9b3-5c40d308cf57
??SAFARI by INTENSELY: Latino- Reggaeton party,"vineri, 21 martie 2025, 23:00","Temple, Bra?ov",25 - 30 lei,https://livetickets-cdn.azureedge.net/itemimages/safari-by-intensely-latino-reggaeton-party/Background_MEDIUM.jpg?e372e8fa-1e03-4df0-86f1-feefe9346498
The Winds of Mykonos at FRATELLI X UMF Parties,"vineri, 21 martie 2025, 23:00","Fratelli Lounge & Club, Ia?i",40 lei,https://livetickets-cdn.azureedge.net/itemimages/the-winds-of-mykonos-at-fratelli-x-umf-parties/Background_MEDIUM.jpg?3cc55f07-7eae-4573-9bbb-fe061db69958
La noche latina,"vineri, 21 martie 2025, 23:00","Strandul No Name (no name beach), Timi?oara",20 - 25 lei,https://livetickets-cdn.azureedge.net/itemimages/la-noche-latina/Background_MEDIUM.jpg?f8060fb7-865b-488e-abcc-856247d2d93e
Retro Party at Euphoria Music Hall,"vineri, 21 martie 2025, 23:00","Euphoria Music Hall, Cluj-Napoca",30 lei,https://livetickets-cdn.azureedge.net/itemimages/retro-party-at-euphoria-music-hall-7/Background_MEDIUM.jpg?daae9f39-6490-478d-ad7c-a95ebc30e5df
Concert Diana Matei & Taraful Cleante I Bonus: Meci Romnia vs. Bosnia Her?egovina pe ecrane gigant,"vineri, 21 martie 2025, 23:30","Beraria H, Bucure?ti",59 - 129 lei,https://livetickets-cdn.azureedge.net/itemimages/concert-diana-matei-taraful-cleante-bucuresti-2025/Background_MEDIUM.jpg?550c4d0c-82a2-419b-bc33-8a872d5ae8c8
TED? Questfield International College Youth,"smbata, 22 martie 2025, 08:45","ARCUB, Bucure?ti",150 - 200 lei,https://livetickets-cdn.azureedge.net/itemimages/ted?-questfield-international-college-youth/Background_MEDIUM.jpg?97344507-05ea-4eae-a517-ae10f33f83e2
YOUNG WINES FOR YOUNGS,"smbata, 22 martie 2025, 16:00","Casino - Centrul de Cultura Urbana, Cluj-Napoca",60 - 100 lei,https://livetickets-cdn.azureedge.net/itemimages/young-wines-for-youngs-20/Background_MEDIUM.jpg?083ef79d-149d-44c3-9dbb-8df5a4116765
"""Verticala 3 Fete Negre"" by Aurelia Visinescu","smbata, 22 martie 2025, 16:30","Casino - Centrul de Cultura Urbana, Cluj-Napoca",175 lei,https://livetickets-cdn.azureedge.net/itemimages/workshop-aurelia-visinescu/Background_MEDIUM.jpg?b09dc978-6e67-41e0-90e6-4d903c60e14c
Serenity in Sound - A Candlelight Yoga & Live Piano Experience,"smbata, 22 martie 2025, 17:00","Strada Alexandru Philippide 6, Bucure?ti",250 lei,https://livetickets-cdn.azureedge.net/itemimages/serenity-in-sound-a-candlelight-yoga-live-piano-experience/Background_MEDIUM.jpg?d7d0e927-7c40-4d59-a095-51e5525c2f8e
Rendezvous Limit - At Aro Palace,"smbata, 22 martie 2025, 18:00","Hotel Aro Palace, Bra?ov",130 lei,https://livetickets-cdn.azureedge.net/itemimages/rendezvous-limite-at-aro-palace/Background_MEDIUM.jpg?7d70818b-3cd0-481c-b9db-d7ab99f2f409
Malina Avasiloaie & Balkanik Taraf at Fabrica de Bere,"smbata, 22 martie 2025, 18:40","Fabrica de Bere, Cluj-Napoca",45 - 90 lei,https://livetickets-cdn.azureedge.net/itemimages/malina-avasiloaie-balkanik-taraf-at-fabrica-de-bere/Background_MEDIUM.jpg?04dd7ac1-4fcb-4e74-a023-e2d91d169f70
Feli n concert // Bucure?ti - Beraria H,"smbata, 22 martie 2025, 19:00","Beraria H, Bucure?ti",49.9 - 99.9 lei,https://livetickets-cdn.azureedge.net/itemimages/concert-feli-bucuresti-2025/Background_MEDIUM.jpg?8027c02d-20fe-41dd-a5cc-f970794286f1
Balul Bobocilor,"smbata, 22 martie 2025, 19:00","Trgu Mure? National Theatre, Trgu Mure?",40 - 50 lei,https://livetickets-cdn.azureedge.net/itemimages/balul-bobocilor-1/Background_MEDIUM.jpg?d7a069c1-ced2-45ae-ac72-f3c309ec5df7
Arabian Night,"smbata, 22 martie 2025, 19:00","OXYA Club, Bucure?ti",70 - 110 lei,https://livetickets-cdn.azureedge.net/itemimages/arabian-night/Background_MEDIUM.jpg?283f9b2a-ebc5-45b6-a30d-c349321d6162
Workshop Maximilian Chocolat,"smbata, 22 martie 2025, 19:00","Casino - Centrul de Cultura Urbana, Cluj-Napoca",125 lei,https://livetickets-cdn.azureedge.net/itemimages/workshop-maximilian-chocolat/Background_MEDIUM.jpg?93d2dc0b-3566-442e-837f-111fafde27c3
Madalina Paval Orchestra | Concert Lansare Album Fuga Iuga | FORM SPACE Cluj-Napoca 22.03,"smbata, 22 martie 2025, 20:00","Form Space, Cluj-Napoca",80 - 100 lei,https://livetickets-cdn.azureedge.net/itemimages/madalina-paval-orchestra-concert-lansare-album-fuga-iuga-form-space-cluj-napoca-2203/Background_MEDIUM.jpg?7d500a2f-8778-4756-90e1-c890ae488692
Tavanul de sticla - 22 martie,"smbata, 22 martie 2025, 20:00","Strada Logofatul Tautu 68A, Bucure?ti",72 lei,https://livetickets-cdn.azureedge.net/itemimages/tavanul-de-sticla-22-martie/Background_MEDIUM.jpg?ed873917-54d1-48b3-b0b9-1c76f496ee2c
RETRO NIGHT FEVER | MC DYLMA x PAPPA M x BLACKIE | 22 MARTIE | CLUJ-NAPOCA,"smbata, 22 martie 2025, 20:00","CHIOS Social Lounge, Cluj-Napoca",45 lei,https://livetickets-cdn.azureedge.net/itemimages/retro-night-fever-mc-dylma-x-pappa-m-x-blackie-22-martie-cluj-napoca/Background_MEDIUM.jpg?93d43e58-e4cf-42be-b5f8-a4221ef085cb
Once Upon a Time,"smbata, 22 martie 2025, 20:00","Eataly Cafe Bar, Timi?oara",0 lei,https://livetickets-cdn.azureedge.net/itemimages/once-upon-a-time-2/Background_MEDIUM.jpg?d6a56b8a-0949-4ba7-8435-aef6514048e0
22.03 | pulse. at the AIRPORT,"smbata, 22 martie 2025, 21:00","Sibiu International Airport, Sibiu",0 - 999 lei,https://livetickets-cdn.azureedge.net/itemimages/sbz-airport-2203/Background_MEDIUM.jpg?8c303872-1234-4700-aa30-7bce21be7cab
Carnavalul Primaverii 15.0  RAVA,"smbata, 22 martie 2025, 21:00","Diplomatic Mamaia, Constan?a",60 - 100 lei,https://livetickets-cdn.azureedge.net/itemimages/carnavalul-primaverii-150-rava/Background_MEDIUM.jpg?391120cd-69ae-4895-9bfd-bd94d5cfb0dc
Afrodite - Act 2: Garden of Eden,"smbata, 22 martie 2025, 21:00","Royal Hall - Casa Presei Libere, Bucuresti",80 - 320 lei,https://livetickets-cdn.azureedge.net/itemimages/afrodite-act-2-garden-of-eden/Background_MEDIUM.jpg?6d7f0c86-581a-4579-a039-4ca6dc7e5ea9
Primavara Manelelor-Cluj Napoca,"smbata, 22 martie 2025, 22:00","Cluj Arena, Cluj-Napoca",60 - 80 lei,https://livetickets-cdn.azureedge.net/itemimages/primavara-manelelor-cluj-napoca/Background_MEDIUM.jpg?fe45ba8b-5a5c-4fe7-8e17-51df7fabba8b
q.p,"smbata, 22 martie 2025, 22:00","Nether Club, Bucure?ti",45 lei,https://livetickets-cdn.azureedge.net/itemimages/qp/Background_MEDIUM.jpg?378cfab5-a56c-432c-b640-6fe58d92f7e6
AFTER HOURS - PETRE STEFAN,"smbata, 22 martie 2025, 22:00","NOA Club, Cluj-Napoca",30 - 40 lei,https://livetickets-cdn.azureedge.net/itemimages/after-hours-secret-artist/Background_MEDIUM.jpg?c704fb2f-bf85-480c-9c7a-fcd38a2cea58
Manelomania - Ia?i,"smbata, 22 martie 2025, 22:00","Master Club, Ia?i",30 - 200 lei,https://livetickets-cdn.azureedge.net/itemimages/manelomania-iasi-2/Background_MEDIUM.jpg?b4c23f75-6e27-4ce3-9779-4cd0edc0366c
* GEORGIANA LOBONT * 22 MARTIE * LIQUID THE CLUB *,"smbata, 22 martie 2025, 22:00","Liquid The Club, Sibiu",60 - 100 lei,https://livetickets-cdn.azureedge.net/itemimages/georgiana-lobont-22-martie-liquid-the-club/Background_MEDIUM.jpg?2d22ef21-04a6-455b-8cef-5189c5d78f1a
Le Petit ? MASAKA AFRICANA  ? 22.03.2025,"smbata, 22 martie 2025, 22:00","Bragadiru Palace, Bucure?ti",80 - 200 lei,https://livetickets-cdn.azureedge.net/itemimages/le-petit-masaka-africana-22032025/Background_MEDIUM.jpg?c086612c-6500-493e-88c4-b8bb4c3582de
"ORI LA BAR, ORI LA SPITAL","smbata, 22 martie 2025, 22:00","Vintage Club, Zalau",29.99 - 130 lei,https://livetickets-cdn.azureedge.net/itemimages/ori-la-bar-ori-la-spital/Background_MEDIUM.jpg?b71d5d99-0c60-4867-a9ad-e3d13792afc2
Timi?oara: Manelescu w/ DJ Belu,"smbata, 22 martie 2025, 22:00","Exit Club, Timi?oara",20 - 100 lei,https://livetickets-cdn.azureedge.net/itemimages/manelescu-8/Background_MEDIUM.jpg?5fb9c2eb-aaf7-493b-b5f0-3b0243fd9e5f
Money Talks Party,"smbata, 22 martie 2025, 22:30","ARS ANIMA, Brasov",50 lei,https://livetickets-cdn.azureedge.net/itemimages/money-talks-party/Background_MEDIUM.jpg?f77abc1a-5c84-436a-9047-dd9ddfd3cfe1
Temple of Confessions. by GAIA. with Tripolism.,"smbata, 22 martie 2025, 22:30","ONE Tower,",125 - 165 lei,https://livetickets-cdn.azureedge.net/itemimages/temple-of-confessions-by-gaia-with-tripolism/Background_MEDIUM.jpg?ae1a14f3-8850-4019-90c4-1f2d4cba46fc
After Prom Party,"smbata, 22 martie 2025, 23:00","Liga Studentilor din Trgu Mures, Trgu Mure?",100 lei,https://livetickets-cdn.azureedge.net/itemimages/after-prom-party/Background_MEDIUM.jpg?7c0c4330-384d-43bc-badd-756850221f2f
"22.03 | Limousine Dream: Cap, Gene on Earth, Peach, Sweely","smbata, 22 martie 2025, 23:00","Club Guesthouse, Bucure?ti",40 lei,https://livetickets-cdn.azureedge.net/itemimages/2203-limousine-dream-cap-gene-on-earth-peach-sweely/Background_MEDIUM.jpg?b798cb6b-24b7-4ca7-9023-bdacd0e8f0ba
I ??OLD School |  HipHop & RnB-90s  2000s /FORMspace,"smbata, 22 martie 2025, 23:00","Cluj-Napoca, Cluj-Napoca",30 - 100 lei,https://livetickets-cdn.azureedge.net/itemimages/i-old-school-hiphop-rnb-90s-2000s-formspace/Background_MEDIUM.jpg?ef59e973-b72a-491f-a2b4-fbaf94a42953
EARLY BIRD - Denis Spaniolu & Spania Team,"smbata, 22 martie 2025, 23:00","OASIS Club Cluj, Cluj-Napoca",45 lei,https://livetickets-cdn.azureedge.net/itemimages/denis-spaniolu-spania-team/Background_MEDIUM.jpg?6969ad52-d454-4c47-99d7-967e7b7bc2a0
Pressure Nights w. DJ Tree,"smbata, 22 martie 2025, 23:00","Strada Tudor Vladimirescu 16, Cluj-Napoca",40 lei,https://livetickets-cdn.azureedge.net/itemimages/pressure-nights-w-dj-tree/Background_MEDIUM.jpg?71684936-07e9-4ebd-8b02-72a833714988
